full_name,description,url,stars,forks,language,svelte_version,is_svelte5,has_sveltekit,sveltekit_version
VERT-sh/VERT,"The next-generation file converter. Open source, fully local* and free forever.",https://github.com/VERT-sh/VERT,13133,676,Svelte,5.43.14,1,1,^2.49.0
huggingface/chat-ui,The open source codebase powering HuggingChat,https://github.com/huggingface/chat-ui,10411,1576,TypeScript,5.33.3,1,1,^2.21.1
Abdenasser/neohtop,"💪🏻 Blazing-fast system monitoring for your desktop (built with Rust, Tauri & Svelte)",https://github.com/Abdenasser/neohtop,8727,276,Svelte,5.0.0,1,1,^2.7.0
huntabyte/shadcn-svelte,"shadcn/ui, but for Svelte. ✨",https://github.com/huntabyte/shadcn-svelte,8108,495,TypeScript,catalog:,0,0,
sveltejs/sapper,"The next small thing in web development, powered by Svelte",https://github.com/sveltejs/sapper,6963,416,TypeScript,3.24.0,0,0,
evidence-dev/evidence,"Business intelligence as code: build fast, interactive data visualizations in SQL and markdown",https://github.com/evidence-dev/evidence,5797,306,JavaScript,4.2.19,0,1,2.8.4
pheralb/svgl,🧩 A beautiful library with SVG logos. Built with Sveltekit & Tailwind CSS.,https://github.com/pheralb/svgl,5396,753,TypeScript,5.46.1,1,1,2.49.2
rajnandan1/kener,"Stunning status pages, batteries included!",https://github.com/rajnandan1/kener,4658,234,Svelte,4.0.5,0,1,^1.27.4
melt-ui/melt-ui,"A set of headless, accessible component builders for Svelte.",https://github.com/melt-ui/melt-ui,4131,224,TypeScript,4.2.9,0,1,^2.0.0
hperrin/svelte-material-ui,Svelte Material UI Components,https://github.com/hperrin/svelte-material-ui,3416,282,Svelte,5.38.1,1,0,
inokawa/virtua,"A zero-config, fast and small (~3kB) virtual list (and grid) component for React, Vue, Solid and Svelte.",https://github.com/inokawa/virtua,3327,94,TypeScript,5.38.9,1,0,
huntabyte/bits-ui,The headless components for Svelte.,https://github.com/huntabyte/bits-ui,2939,176,TypeScript,catalog:,0,0,
carbon-design-system/carbon-components-svelte,Svelte implementation of the Carbon Design System,https://github.com/carbon-design-system/carbon-components-svelte,2860,263,TypeScript,4.2.20,0,0,
open-source-labs/Svelvet,"🎛 A Svelte library for building dynamic, infinitely customizable node-based user interfaces and flowcharts",https://github.com/open-source-labs/Svelvet,2753,177,Svelte,,0,1,^1.20.4
ciscoheat/sveltekit-superforms,Making SvelteKit forms a pleasure to use!,https://github.com/ciscoheat/sveltekit-superforms,2701,100,TypeScript,5.46.0,1,1,^2.49.2
goniszewski/grimoire,Bookmark manager for the wizards 🧙,https://github.com/goniszewski/grimoire,2690,80,TypeScript,4.2.19,0,1,^2.5.27
PuruVJ/macos-web,,https://github.com/PuruVJ/macos-web,2567,318,Svelte,5.34.8,1,0,
gurucomputing/headscale-ui,A web frontend for the headscale Tailscale-compatible coordination server,https://github.com/gurucomputing/headscale-ui,2455,165,Svelte,4,0,1,^2
PuruVJ/neodrag,One Draggable to rule them all 💍,https://github.com/PuruVJ/neodrag,2409,62,TypeScript,4.2.14,0,0,
scosman/CMSaasStarter,"A modern SaaS template/boilerplate built with SvelteKit, Tailwind, and Supabase. Includes marketing page, blog, subscriptions, auth, user dashboard, user settings, pricing page, and more.",https://github.com/scosman/CMSaasStarter,2263,468,Svelte,5.0.0,1,1,^2.21.1
sveltia/sveltia-cms,"Netlify/Decap CMS successor. Fast, lightweight, Git-based headless CMS. Modern UX, first-class i18n support, mobile support + 100s of improvements. Framework-agnostic, open source & free.",https://github.com/sveltia/sveltia-cms,2014,111,JavaScript,5.46.1,1,0,
rgossiaux/svelte-headlessui,Unofficial Svelte port of the Headless UI component library,https://github.com/rgossiaux/svelte-headlessui,1808,95,Svelte,3.47.0,0,1,^1.20.2
michael/editable-website,A SvelteKit template for building CMS-free editable websites ,https://github.com/michael/editable-website,1682,146,JavaScript,5.45.6,1,1,^2.49.1
svecosystem/runed,Magical utilities for your Svelte applications.,https://github.com/svecosystem/runed,1664,67,TypeScript,catalog:,0,0,
Rich-Harris/pancake,Experimental charting library for Svelte,https://github.com/Rich-Harris/pancake,1324,65,JavaScript,3.42.1,0,1,next
Rich-Harris/svelte-cubed,Svelte ❤️ Three,https://github.com/Rich-Harris/svelte-cubed,1190,73,Svelte,3.38.3,0,1,^1.0.0-next.196
joshnuss/svelte-persisted-store,A Svelte store that persists to localStorage,https://github.com/joshnuss/svelte-persisted-store,1154,40,TypeScript,4.2.18,0,0,
valqelyan/svelte-grid,"A responsive, draggable and resizable grid layout, for Svelte. [NOT MAINTAINED]",https://github.com/valqelyan/svelte-grid,1001,67,Svelte,3.30.0,0,0,
sveltejs/vite-plugin-svelte,Svelte plugin for https://vite.dev,https://github.com/sveltejs/vite-plugin-svelte,988,126,JavaScript,5.45.4,1,1,^2.49.1
creativetimofficial/notus-svelte,Notus Svelte: Free Tailwind CSS UI Kit and Admin,https://github.com/creativetimofficial/notus-svelte,862,463,Svelte,3.35.0,0,0,
